2014-01-19 10:47:16 - PHP Notice:  Undefined property: Customer::$customer_type in E:\xampp\htdocs\aquagold\cart\system\library\customer.php on line 169
2014-01-19 13:20:24 - PHP Notice:  Error: Could not load template E:\xampp\htdocs\aquagold\cart/catalog/view/theme/aquagold/template/common/home_physician.tpl! in E:\xampp\htdocs\aquagold\cart\system\engine\controller.php on line 90
2014-01-19 18:09:10 - PHP Notice:  Undefined index: route in E:\xampp\htdocs\aquagold\cart\catalog\controller\common\header.php on line 54
2014-01-19 18:10:11 - PHP Notice:  Undefined index: route in E:\xampp\htdocs\aquagold\cart\catalog\controller\common\header.php on line 54
2014-01-22 12:19:48 - PHP Notice:  Undefined variable: product in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\common\home.tpl on line 41
2014-01-22 12:20:09 - PHP Notice:  Undefined variable: product in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\common\home.tpl on line 41
2014-01-23 0:56:20 - PHP Notice:  Undefined variable: error in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\product\product.tpl on line 4
2014-01-24 5:40:15 - PHP Warning:  require_once(sdk/src/OneGoSDK/init.php) [<a href='function.require-once'>function.require-once</a>]: failed to open stream: No such file or directory in E:\xampp\htdocs\aquagold\cart\system\library\onego\common.lib.php on line 2
2014-01-24 10:38:21 - PHP Warning:  require_once(sdk/src/OneGoSDK/init.php) [<a href='function.require-once'>function.require-once</a>]: failed to open stream: No such file or directory in E:\xampp\htdocs\aquagold\cart\system\library\onego\common.lib.php on line 2
2014-01-24 10:41:23 - PHP Warning:  require_once(sdk/src/OneGoSDK/init.php) [<a href='function.require-once'>function.require-once</a>]: failed to open stream: No such file or directory in E:\xampp\htdocs\aquagold\cart\system\library\onego\common.lib.php on line 2
2014-01-24 11:44:01 - PHP Notice:  Error: Could not load model total/sub_total! in E:\xampp\htdocs\aquagold\cart\system\engine\loader.php on line 48
2014-01-24 11:44:17 - PHP Notice:  Error: Could not load model total/sub_total! in E:\xampp\htdocs\aquagold\cart\system\engine\loader.php on line 48
2014-01-24 11:44:18 - PHP Notice:  Error: Could not load model total/sub_total! in E:\xampp\htdocs\aquagold\cart\system\engine\loader.php on line 48
2014-01-24 11:44:21 - PHP Notice:  Error: Could not load model total/sub_total! in E:\xampp\htdocs\aquagold\cart\system\engine\loader.php on line 48
2014-01-24 11:44:24 - PHP Notice:  Error: Could not load model total/sub_total! in E:\xampp\htdocs\aquagold\cart\system\engine\loader.php on line 48
2014-01-24 11:46:39 - PHP Notice:  Error: Could not load language total/sub_total! in E:\xampp\htdocs\aquagold\cart\system\library\language.php on line 39
2014-01-24 11:46:39 - PHP Notice:  Error: Could not load language total/credit! in E:\xampp\htdocs\aquagold\cart\system\library\language.php on line 39
2014-01-24 11:46:39 - PHP Notice:  Error: Could not load language total/total! in E:\xampp\htdocs\aquagold\cart\system\library\language.php on line 39
2014-01-26 18:11:45 - PHP Notice:  Error: Could not load template E:\xampp\htdocs\aquagold\cart/catalog/view/theme/aquagold/template/common/account_patient.tpl! in E:\xampp\htdocs\aquagold\cart\system\engine\controller.php on line 90
2014-01-26 18:12:31 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-26 18:16:25 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-26 18:16:30 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-26 18:16:52 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
